Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,525,500,059",,,"3,079,139,948",,,,,,,"2,222,759,962",,,"2,356,193,304","2,647,289,991","2,542,487,621","2,144,195,795","2,251,774,788","2,365,928,173","2,349,487,543","2,303,077,459","2,993,403,196","2,574,648,857","364,774,847",
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,"6,000,850,201","5,889,130,116","5,646,269,798",,"5,471,980,095","5,364,590,168",,"5,397,640,228","5,268,899,918","5,057,750,225","49,072,299","4,739,160,061","4,666,890,144","4,784,840,107","4,682,879,925","5,505,690,098","5,244,909,763",,,,,,"4,759,339,809","5,222,615,719","5,305,696,487","5,245,257,854","5,193,072,319","5,271,876,335","5,163,090,229","4,969,668,865","4,901,823,521","5,396,406,651","6,150,436,401","6,006,015,778","5,559,247,971","5,519,627,094","5,437,552,452","54,628,582","543,038,559","5,321,255,684","5,409,676,075","5,508,588,791","5,378,280,163","5,333,209,991","5,206,776,619",
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,"4,147,160,053","4,282,350,063","4,450,150,013","4,515,470,028","4,655,940,056","5,127,960,205","5,237,659,931","495,401,001","5,159,790,039","5,038,159,847","5,008,969,784","5,367,809,772","5,362,989,902","5,303,780,079","5,294,469,833","5,297,210,217","5,499,959,946","5,376,110,077","5,190,730,095","501,816,988","4,957,250,118","5,103,219,986","5,296,979,904","5,251,999,855",,"5,428,349,972","5,259,900,093",,"6,103,740,215","6,112,339,973","5,588,809,967","5,575,479,984","5,522,130,013","5,361,830,235","5,302,430,153","5,249,370,098","5,226,520,061","5,146,900,177","5,263,959,885","5,730,249,882","5,700,479,984","5,592,269,897","5,480,400,085","5,547,110,081","5,447,619,915","5,456,580,162","547,961,998","5,371,590,137","5,226,550,102","5,217,790,127","5,571,269,989","5,494,110,107","4,774,471,283",
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,057,970,047",,,"3,337,369,919","3,512,569,904",,"3,380,019,903","4,212,140,083","3,853,990,078","3,503,420,115","3,154,459,953","3,286,149,979","3,447,700,024","2,974,620,104","2,555,520,058","2,549,279,928","244,092,989","3,224,309,921","2,780,620,098","2,435,640,097","2,067,630,053","2,442,130,089","2,633,039,951","2,951,679,945","2,903,409,958","2,473,819,971","2,455,430,031","3,176,460,028","4,332,049,847","3,702,080,011","3,046,900,034","3,582,900,286"
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,"2,803,359,985",,"3,346,760,035",,,,,,,,,"3,359,329,939","3,493,659,973","3,805,850,029",,"4,565,269,947","5,015,110,016","4,083,240,032",,,"3,417,449,951","2,645,479,918","2,903,909,922","3,004,930,019",,"374,496,007","3,632,159,948",,,"5,192,900,181","6,171,949,863","6,678,016,663","6,240,096,092","6,034,728,527","5,995,399,952","7,516,379,833","7,102,909,565","496,585,083","5,009,188,652","5,413,527,489","5,346,684,456","5,321,585,178","4,871,141,911","4,821,047,306",
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,"5,762,819,767","5,731,040,001","598,883,009","5,436,339,855","5,380,350,113","5,310,639,858","5,435,319,901","5,316,730,022",,,,"4,852,290,154","4,577,129,841","4,300,720,215",,,,,"5,372,310,162","5,411,039,829","2,988,660,097","3,049,479,961",,,,"5,532,732,964","5,676,054,955","5,789,683,819","5,891,302,109","5,629,337,788","5,795,859,814","562,658,596","5,518,233,776","6,332,940,102","6,458,099,842","6,442,590,237","6,431,990,147","6,255,764,961","6,630,529,881","6,590,469,837","6,451,570,034","6,461,730,003","6,425,340,176","6,381,070,137","633,397,007","6,801,859,856","6,355,519,772",,
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,747,889,996","1,921,939,969","2,113,660,097","2,365,099,907","2,159,490,108","2,283,159,971","2,566,900,015","2,656,680,107","256,340,003","2,363,310,099","2,777,280,092","3,089,270,115","3,679,970,026","4,400,000,095","3,562,020,063","3,327,510,118","3,161,789,894","317,298,007","2,899,100,065","3,535,589,933","2,931,619,883","2,965,201,139","3,094,415,188","3,203,484,297","3,377,859,116",
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,"1,679,829,955",,"1,961,799,979",,,"1,754,480,004",,"1,763,960,004",,,"1,426,079,988",,,,,,"3,451,100,111",,"1,440,260,053",,,,,,,,,"3,941,139,936","3,982,189,894","407,983,017",,,"3,502,229,929","3,985,150,099","3,603,159,904","4,083,439,827","4,053,299,904","367,008,996",,"5,628,469,944","5,488,609,791","5,407,136,917","5,150,865,078","5,224,015,236","5,276,512,146",
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,"1,130,929,947","937,600,017","1,071,499,944","1,011,639,953","1,032,670,021","1,223,029,971","1,271,180,034","1,343,490,005","1,513,640,046",,,"1,519,119,978","1,425,660,014","1,631,770,015","1,692,620,039",,,,"1,952,469,945",,"2,132,819,891","2,125,080,109","2,171,930,075","2,017,149,925","2,069,390,059","1,940,140,009",,"2,131,289,959","2,202,219,963","205,456,996","1,939,419,985",,"2,132,699,966","2,046,670,675","1,966,160,059","2,098,716,736","1,872,254,133","2,221,199,989","1,850,400,329","1,655,891,299","1,681,388,021","1,765,280,604","1,831,179,976","1,711,836,696","1,775,227,427"
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,"352,947,998",,,,,,,,,,"4,454,060,078","5,429,619,789","52,604,599","4,950,489,998","4,170,660,019","2,372,070,074","2,230,079,889",,"2,739,429,951",,"4,219,832,897","3,384,239,912","3,386,080,027","3,998,450,041","4,249,889,851","4,108,799,934","3,903,460,026","3,680,340,052","4,219,089,985","4,274,290,085","3,857,460,022","3,546,900,034","3,476,500,034","4,057,660,103","4,070,053,101","3,912,084,341","3,393,708,229","4,077,559,948","4,047,090,054","4,199,029,922","4,505,139,828","473,032,999",,
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,"2,012,170,076","2,307,810,068","2,023,930,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,874,409,914","2,575,000,048","2,496,779,919",,"2,351,149,797","2,312,353,849","2,645,309,925","2,476,890,087","2,467,459,917","2,668,080,091","2,802,482,843","2,327,810,049","2,388,939,857","2,384,604,454","2,552,374,601","2,221,358,061","198,779,726",
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,232,840,061",,,,,,,,,,"2,451,659,918","2,355,766,296","2,387,045,145","2,385,959,864","2,314,071,655","2,296,975,136","2,586,606,741","2,691,406,488","2,485,194,921","2,617,186,308","3,790,011,644","3,006,932,497","2,836,576,223",
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,314,739,704","3,018,112,898","4,264,510,155","283,868,432","3,892,970,085","4,044,499,874","3,019,540,787","4,136,229,992",,
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,010,014","6,196,619,987",,,"6,310,182,095","5,712,259,769","5,871,029,854","6,076,960,087","5,152,100,086","5,713,215,351","4,368,939,877","5,220,039,845","4,684,790,134","4,959,640,026","5,009,419,918","4,818,329,811","4,787,509,918","4,946,549,892","4,795,000,076","5,381,100,178","4,979,489,803","4,862,639,904","4,606,410,027","4,628,230,095","4,951,479,912"
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,047,800,064","3,695,930,004","4,250,659,943",,"3,915,649,891","4,026,649,952",,,,"4,319,920,063","4,820,539,951","5,264,430,046","551,967,907","547,151,041","5,151,440,144","5,167,439,938","5,390,200,138","5,721,710,205","5,949,679,852","6,126,820,087","5,964,990,139","5,216,320,038","5,948,790,073","4,596,509,933","425,564,003"
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,"4,107,900,143",,"3,434,420,109",,,,,,,,,,"3,034,490,108",,,,,"3,136,199,951","3,150,650,024","34,760,499",,,,,,"2,152,270,079",,,,,"1,666,270,018","1,775,879,979","1,988,770,008",,,,"2,289,200,068","2,306,689,978","219,656,992","2,385,971,308","2,279,503,107","1,536,880,016","1,501,639,962","1,915,443,897","1,324,959,993","193,595,469","1,926,798,224","1,890,087,724","1,884,916,902","1,922,213,435","1,933,646,798"
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,195,047,855","6,629,619,122","6,847,718,239","6,713,525,295","6,434,219,837","6,720,489,979","6,723,020,077","7,574,860,096","6,973,790,169","6,450,560,093","6,627,999,783","6,803,219,795","7,478,129,864","8,143,429,756","815,060,997","8,097,240,448","8,015,870,094","8,091,039,658","8,437,109,947","7,962,150,097","7,575,500,011",
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,568,160,057",,,"4,756,659,985","3,800,620,079","3,948,930,025","3,844,680,071","3,750,370,026",,"3,974,479,914","44,790,802","4,870,600,224","4,974,259,853","5,268,839,836","5,463,550,091","5,648,799,896","5,737,410,069","5,855,100,155","5,838,850,021","5,948,480,129","624,105,978","6,314,040,184","632,047,987","6,088,510,036","5,963,469,982","5,771,500,111","549,698,019",,
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,"6,150,650,024","6,790,719,986","6,722,420,216","7,523,749,828",,"59,447,999","6,517,159,939",,,,,,,,,,,,,,"6,638,700,008",,,,,,,,"4,341,239,929","471,585,989","6,055,369,854","5,880,620,003","6,245,699,883","6,024,280,071","5,669,650,078",,"5,220,610,142","4,920,740,128","51,104,002","6,052,619,934",,"5,257,269,859","5,134,860,039","6,121,970,177","5,176,999,092","4,683,829,784","4,349,979,877","5,133,137,226","4,086,329,937","4,168,600,082","4,863,609,791","4,416,240,215","4,044,760,227"
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,"6,239,150,047","4,995,019,913","4,039,289,951","8,793,290,138","339,270,997","1,961,339,951","1,970,080,018",,"2,114,239,931","1,545,519,948","1,191,079,974","1,616,780,043","1,697,149,992",,,,,"4,737,730,026","5,409,029,961","469,012,022","3,959,959,984","3,668,940,067","3,747,689,962","429,403,019",,,,,"5,253,950,119","4,932,050,228","3,705,909,967",,,,,,,,,,"2,046,610,117","3,322,099,924","2,889,590,025",,"3,353,189,945",,"4,425,409,794",,,,,,,
